Data,Empresa,Vendedor,Produto,Valor,Forma de Pagamento
09/09/2026,Colina,Murilo,SCOTT SCALE,16000.0,PIX
09/09/2026,Colina,Murilo,RODA CARBONO,3990.0,PIX
09/09/2026,J&M,Patricia,ABSOLUTE 12V,3274.9,Cartão de Crédito
09/09/2026,Colina,Wilson,KLOSH FEEL,8300.0,Dinheiro
09/09/2026,Colina,Patricia,ABSOLUTE 12V,2388.0,Cartão de Crédito
09/09/2026,Colina,Murilo,ABSOLUTE 12V,3599.0,Cartão de Crédito
09/09/2026,J&M,Murilo,DIF. ABSOLUTE 12V,1499.0,Cartão de Crédito
09/09/2026,Colina,Douglas,2X 8V ABSOLUTE NERO 5,2999.0,Cartão de Crédito
09/09/2026,Colina,Douglas,ABSOLUTE 12V,1899.0,Cartão de Débito
